team_id,team_name,season_id,season_name,season_year,matches_played,total_goals_conceded,goals_conceded_per_game,clean_sheets,clean_sheet_pct,total_saves,saves_per_game,total_tackles,tackles_per_game,avg_tackles_won_pct,total_interceptions,interceptions_per_game,total_clearances,clearances_per_game,total_blocked_shots,blocked_shots_per_game,total_ball_recoveries,ball_recoveries_per_game,avg_aerial_duels_pct,avg_ground_duels_pct,avg_duels_won_pct,total_errors_lead_to_goal,total_errors_lead_to_shot
3123,ŁKS Łódź,52176,Ekstraklasa 23/24,23/24,32,70,2.19,2,6.3,114,3.56,473,14.78,9.4,304,9.50,718,22.44,109,3.41,1706,53.31,12.9,35.6,47.3,1,1
35268,Raków Częstochowa,42004,Ekstraklasa 22/23,22/23,33,24,0.73,16,48.5,62,1.88,447,13.55,8.2,363,11.00,412,12.48,129,3.91,54,1.64,15.6,36.5,50.8,0,0
3121,Lech Poznań,42004,Ekstraklasa 22/23,22/23,33,27,0.82,16,48.5,77,2.33,467,14.15,8.8,323,9.79,445,13.48,140,4.24,55,1.67,10.9,35.7,49.5,0,0
7918,Piast Gliwice,42004,Ekstraklasa 22/23,22/23,33,30,0.91,10,30.3,75,2.27,489,14.82,9.4,341,10.33,628,19.03,83,2.52,0,0.00,18.3,34.8,50.8,0,0
7922,Warta Poznań,42004,Ekstraklasa 22/23,22/23,32,30,0.94,12,37.5,67,2.09,429,13.41,7.8,416,13.00,614,19.19,99,3.09,75,2.34,21.2,32.4,51.5,0,0
3106,Legia Warszawa,42004,Ekstraklasa 22/23,22/23,33,36,1.09,12,36.4,86,2.61,510,15.45,9.8,338,10.24,546,16.55,122,3.70,112,3.39,12.9,35.9,51.9,0,0
4901,Cracovia,42004,Ekstraklasa 22/23,22/23,32,35,1.09,10,31.3,81,2.53,444,13.88,8.1,344,10.75,652,20.38,115,3.59,59,1.84,18.3,31.1,50.6,0,0
38732,Stal Mielec,42004,Ekstraklasa 22/23,22/23,33,40,1.21,11,33.3,105,3.18,480,14.55,8.9,303,9.18,639,19.36,110,3.33,63,1.91,13.9,36.4,52.1,0,0
7295,Radomiak Radom,42004,Ekstraklasa 22/23,22/23,33,40,1.21,9,27.3,108,3.27,478,14.48,8.5,339,10.27,601,18.21,112,3.39,59,1.79,15.8,36.3,50.8,0,0
3110,Górnik Zabrze,42004,Ekstraklasa 22/23,22/23,33,41,1.24,11,33.3,105,3.18,560,16.97,10.4,417,12.64,541,16.39,133,4.03,119,3.61,13.8,36.3,49.9,0,0
3113,Zagłębie Lubin,42004,Ekstraklasa 22/23,22/23,33,44,1.33,8,24.2,85,2.58,450,13.64,8.0,324,9.82,688,20.85,125,3.79,50,1.52,13.8,32.5,48.7,0,0
3117,Pogoń Szczecin,42004,Ekstraklasa 22/23,22/23,33,45,1.36,8,24.2,77,2.33,473,14.33,9.2,312,9.45,516,15.64,150,4.55,115,3.48,12.2,34.5,50.2,0,0
3115,Widzew Łódź,42004,Ekstraklasa 22/23,22/23,32,45,1.41,11,34.4,98,3.06,433,13.53,7.6,334,10.44,695,21.72,121,3.78,51,1.59,13.8,32.9,49.2,0,0
5065,MKS Korona Kielce,42004,Ekstraklasa 22/23,22/23,32,45,1.41,8,25.0,90,2.81,495,15.47,9.2,379,11.84,718,22.44,109,3.41,49,1.53,14.3,33.3,48.0,0,0
3108,Śląsk Wrocław,42004,Ekstraklasa 22/23,22/23,33,48,1.45,5,15.2,84,2.55,460,13.94,8.4,349,10.58,598,18.12,79,2.39,49,1.48,13.6,36.1,50.5,0,0
7691,Jagiellonia Białystok,42004,Ekstraklasa 22/23,22/23,32,47,1.47,4,12.5,126,3.94,513,16.03,9.5,370,11.56,727,22.72,99,3.09,43,1.34,15.1,34.9,49.8,0,0
7913,KS Lechia Gdańsk,42004,Ekstraklasa 22/23,22/23,33,50,1.52,11,33.3,116,3.52,471,14.27,8.8,320,9.70,610,18.48,107,3.24,62,1.88,13.8,33.2,48.9,0,0
3122,Wisła Płock,42004,Ekstraklasa 22/23,22/23,32,50,1.56,5,15.6,121,3.78,501,15.66,10.0,291,9.09,636,19.88,110,3.44,61,1.91,12.5,34.8,49.5,0,0
35330,Miedź Legnica,42004,Ekstraklasa 22/23,22/23,33,54,1.64,4,12.1,131,3.97,510,15.45,8.8,416,12.61,686,20.79,94,2.85,67,2.03,15.6,32.9,47.3,0,0
3121,Lech Poznań,37062,Ekstraklasa 21/22,21/22,32,23,0.72,14,43.8,49,1.53,413,12.91,8.2,344,10.75,447,13.97,154,4.81,0,0.00,14.9,30.8,49.7,0,0
35268,Raków Częstochowa,37062,Ekstraklasa 21/22,21/22,33,28,0.85,14,42.4,80,2.42,450,13.64,8.0,377,11.42,526,15.94,103,3.12,0,0.00,17.4,38.4,51.9,0,0
3117,Pogoń Szczecin,37062,Ekstraklasa 21/22,21/22,33,31,0.94,9,27.3,79,2.39,481,14.58,9.3,370,11.21,583,17.67,126,3.82,0,0.00,15.6,34.4,50.3,0,0
7918,Piast Gliwice,37062,Ekstraklasa 21/22,21/22,32,34,1.06,10,31.3,79,2.47,492,15.38,9.0,393,12.28,711,22.22,94,2.94,0,0.00,17.7,35.4,51.2,0,0
7922,Warta Poznań,37062,Ekstraklasa 21/22,21/22,33,36,1.09,10,30.3,86,2.61,508,15.39,9.9,426,12.91,721,21.85,97,2.94,0,0.00,17.1,34.8,48.4,0,0
7913,KS Lechia Gdańsk,37062,Ekstraklasa 21/22,21/22,33,38,1.15,12,36.4,107,3.24,463,14.03,8.2,385,11.67,618,18.73,118,3.58,0,0.00,16.2,33.5,48.5,0,0
7295,Radomiak Radom,37062,Ekstraklasa 21/22,21/22,33,40,1.21,8,24.2,88,2.67,514,15.58,9.7,291,8.82,603,18.27,137,4.15,0,0.00,19.2,38.4,51.0,0,0
4901,Cracovia,37062,Ekstraklasa 21/22,21/22,33,41,1.24,10,30.3,79,2.39,567,17.18,10.2,347,10.52,677,20.52,108,3.27,0,0.00,16.8,36.8,50.2,0,0
3106,Legia Warszawa,37062,Ekstraklasa 21/22,21/22,33,48,1.45,7,21.2,91,2.76,556,16.85,10.2,418,12.67,482,14.61,127,3.85,0,0.00,16.7,40.3,51.6,0,0
7691,Jagiellonia Białystok,37062,Ekstraklasa 21/22,21/22,33,49,1.48,7,21.2,74,2.24,565,17.12,10.5,428,12.97,637,19.30,106,3.21,0,0.00,16.2,36.2,49.7,0,0
3122,Wisła Płock,37062,Ekstraklasa 21/22,21/22,33,50,1.52,9,27.3,127,3.85,547,16.58,10.0,364,11.03,689,20.88,103,3.12,0,0.00,15.8,38.5,49.4,0,0
3108,Śląsk Wrocław,37062,Ekstraklasa 21/22,21/22,33,50,1.52,5,15.2,108,3.27,510,15.45,9.5,386,11.70,630,19.09,117,3.55,0,0.00,15.1,36.5,49.6,0,0
38732,Stal Mielec,37062,Ekstraklasa 21/22,21/22,32,49,1.53,6,18.8,110,3.44,398,12.44,7.5,422,13.19,719,22.47,88,2.75,0,0.00,15.4,34.3,51.6,0,0
3110,Górnik Zabrze,37062,Ekstraklasa 21/22,21/22,32,50,1.56,6,18.8,81,2.53,487,15.22,8.7,426,13.31,566,17.69,117,3.66,0,0.00,15.2,34.5,50.9,0,0
3111,Wisła Kraków,37062,Ekstraklasa 21/22,21/22,33,54,1.64,7,21.2,119,3.61,540,16.36,9.5,351,10.64,592,17.94,129,3.91,0,0.00,14.4,34.8,47.7,0,0
36851,Bruk-Bet Termalica Nieciecza,37062,Ekstraklasa 21/22,21/22,33,55,1.67,5,15.2,126,3.82,434,13.15,7.9,392,11.88,649,19.67,110,3.33,0,0.00,15.3,33.4,51.7,0,0
3113,Zagłębie Lubin,37062,Ekstraklasa 21/22,21/22,32,55,1.72,8,25.0,119,3.72,486,15.19,8.6,342,10.69,722,22.56,128,4.00,0,0.00,16.2,34.6,47.4,0,0
3125,Górnik Łęczna,37062,Ekstraklasa 21/22,21/22,32,56,1.75,6,18.8,122,3.81,517,16.16,9.0,359,11.22,673,21.03,93,2.91,0,0.00,16.7,36.6,49.2,0,0
3117,Pogoń Szczecin,29222,Ekstraklasa 20/21,20/21,30,23,0.77,17,56.7,96,3.20,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
