team_id_1,team_id_2,team_1_name,team_2_name,total_matches,team_1_wins,draws,team_2_wins,team_1_goals,team_2_goals,team_1_avg_goals,team_2_avg_goals,last_meeting_date,last_5_results
3111,7693,Wisła Kraków,Zagłębie Sosnowiec,3,0,1,2,6,8,2.00,2.67,2019-04-25,2 (1-2) | 2 (3-4) | X (2-2)
7693,35330,Zagłębie Sosnowiec,Miedź Legnica,3,2,1,0,7,3,2.33,1.00,2019-04-22,X (2-2) | 1 (2-0) | 1 (3-1)
7913,36766,KS Lechia Gdańsk,Sandecja Nowy Sącz,3,0,2,1,5,6,1.67,2.00,2018-05-19,X (1-1) | X (2-2) | 2 (2-3)
4901,36766,Cracovia,Sandecja Nowy Sącz,3,2,1,0,4,2,1.33,0.67,2018-05-12,1 (1-0) | 1 (2-1) | X (1-1)
36766,36851,Sandecja Nowy Sącz,Bruk-Bet Termalica Nieciecza,3,1,1,1,2,2,0.67,0.67,2018-05-08,X (1-1) | 2 (0-1) | 1 (1-0)
7918,36766,Piast Gliwice,Sandecja Nowy Sącz,3,1,1,1,6,4,2.00,1.33,2018-05-05,2 (1-2) | 1 (3-0) | X (2-2)
3117,36766,Pogoń Szczecin,Sandecja Nowy Sącz,3,2,0,1,7,3,2.33,1.00,2018-04-28,1 (2-0) | 1 (4-1) | 2 (1-2)
5064,36766,MZKS Arka Gdynia,Sandecja Nowy Sącz,3,1,1,1,6,3,2.00,1.00,2018-04-22,2 (1-3) | 1 (5-0) | X (0-0)
3108,36766,Śląsk Wrocław,Sandecja Nowy Sącz,3,1,2,0,2,1,0.67,0.33,2018-04-15,1 (1-0) | X (0-0) | X (1-1)
3125,5064,Górnik Łęczna,MZKS Arka Gdynia,3,1,1,1,4,3,1.33,1.00,2017-05-12,2 (0-1) | 1 (4-2) | X (0-0)
3105,3122,Ruch Chorzów,Wisła Płock,3,0,2,1,6,7,2.00,2.33,2017-04-29,X (1-1) | 2 (3-4) | X (2-2)
7919,36851,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,3,2,0,1,4,1,1.33,0.33,2016-04-17,2 (0-1) | 1 (2-0) | 1 (2-0)
3125,3128,Górnik Łęczna,GKS Bełchatów,3,1,2,0,3,2,1.00,0.67,2015-06-05,1 (1-0) | X (1-1) | X (1-1)
3128,35329,GKS Bełchatów,Zawisza Bydgoszcz,3,0,0,3,3,10,1.00,3.33,2015-05-30,2 (1-4) | 2 (1-4) | 2 (1-2)
3125,35329,Górnik Łęczna,Zawisza Bydgoszcz,3,1,2,0,6,3,2.00,1.00,2015-05-22,X (1-1) | X (0-0) | 1 (5-2)
