team_id,team_name,season_id,season_name,season_year,last_5_results,points_last_5,wins_last_5,draws_last_5,losses_last_5,goals_for_last_5,goals_against_last_5,halftime_leading_count,halftime_leading_wins,halftime_leading_draws,halftime_leading_losses,halftime_leading_win_pct,conceded_first_count,points_after_conceding_first,points_pct_after_conceding_first
36851,Bruk-Bet Termalica Nieciecza,37062,Ekstraklasa 21/22,21/22,WDWWD,11,3,2,0,8,4,8,2,2,4,25.0,28,32,38.1
3121,Lech Poznań,37062,Ekstraklasa 21/22,21/22,WDDWW,11,3,2,0,12,4,13,8,5,0,61.5,18,29,53.7
3117,Pogoń Szczecin,37062,Ekstraklasa 21/22,21/22,LWWWD,10,3,1,1,7,6,16,9,5,2,56.3,24,47,65.3
3106,Legia Warszawa,37062,Ekstraklasa 21/22,21/22,WWWLL,9,3,0,2,12,10,10,8,2,0,80.0,26,32,41.0
7913,KS Lechia Gdańsk,37062,Ekstraklasa 21/22,21/22,LLWWW,9,3,0,2,7,7,15,11,2,2,73.3,21,26,41.3
3108,Śląsk Wrocław,37062,Ekstraklasa 21/22,21/22,DWLWD,8,2,2,1,6,11,10,3,4,3,30.0,28,33,39.3
35268,Raków Częstochowa,37062,Ekstraklasa 21/22,21/22,WLLWD,7,2,1,2,8,4,13,6,4,3,46.2,19,20,35.1
4901,Cracovia,37062,Ekstraklasa 21/22,21/22,LWWLD,7,2,1,2,5,4,8,4,4,0,50.0,23,20,29.0
7918,Piast Gliwice,37062,Ekstraklasa 21/22,21/22,LDDDW,6,1,3,1,8,6,9,5,3,1,55.6,22,31,47.0
3122,Wisła Płock,37062,Ekstraklasa 21/22,21/22,WLDLD,5,1,2,2,7,10,14,9,4,1,64.3,24,19,26.4
3111,Wisła Kraków,37062,Ekstraklasa 21/22,21/22,DLLWD,5,1,2,2,5,9,9,3,2,4,33.3,26,23,29.5
3110,Górnik Zabrze,37062,Ekstraklasa 21/22,21/22,DWLLD,5,1,2,2,15,12,8,4,4,0,50.0,26,28,35.9
3113,Zagłębie Lubin,37062,Ekstraklasa 21/22,21/22,LWDLD,5,1,2,2,12,9,6,1,2,3,16.7,24,20,27.8
7922,Warta Poznań,37062,Ekstraklasa 21/22,21/22,DDDDL,4,0,4,1,7,7,7,1,6,0,14.3,23,22,31.9
7691,Jagiellonia Białystok,37062,Ekstraklasa 21/22,21/22,DLWLL,4,1,1,3,5,5,2,2,0,0,100.0,26,24,30.8
